name;kofola_high_cnt-runtime;kofola_high_cnt-retcode;kofola_high_cnt-states_cnt;kofola_high-runtime;kofola_high-retcode;kofola_high-states_cnt;kofola_medium_cnt-runtime;kofola_medium_cnt-retcode;kofola_medium_cnt-states_cnt;kofola_medium-runtime;kofola_medium-retcode;kofola_medium-states_cnt;kofola_low_cnt-runtime;kofola_low_cnt-retcode;kofola_low_cnt-states_cnt;kofola_low-runtime;kofola_low-retcode;kofola_low-states_cnt;kofola_no_preproc_cnt-runtime;kofola_no_preproc_cnt-retcode;kofola_no_preproc_cnt-states_cnt;kofola_no_preproc-runtime;kofola_no_preproc-retcode;kofola_no_preproc-states_cnt;autfilt_cnt-runtime;autfilt_cnt-retcode;autfilt_cnt-states_cnt;autfilt-runtime;autfilt-retcode;autfilt-states_cnt
automata/termination/AliasDarteFeautrierGonnord-SAS2010-loops_true-termination_false-no-overflow.c_Iteration2_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-loops_true-termination_false-no-overflow.c_Iteration2_B.ba.hoa;0.0;1;7;0.01;1;;0.0;1;7;0.0;1;;0.0;1;7;0.0;1;;0.0;1;7;0.0;1;;0.01;1;14;0.0;1;
automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration2_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration2_B.ba.hoa;0.0;1;11;0.0;1;;0.0;1;11;0.0;1;;0.0;1;11;0.0;1;;0.0;1;11;0.0;1;;0.01;1;11;0.0;1;
automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration3_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration3_B.ba.hoa;0.0;1;24;0.0;1;;0.0;1;24;0.0;1;;0.01;1;24;0.0;1;;0.0;1;24;0.0;1;;0.01;1;26;0.0;1;
automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration4_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration4_B.ba.hoa;0.01;1;33;0.0;1;;0.0;1;33;0.0;1;;0.0;1;33;0.0;1;;0.0;1;33;0.0;1;;0.01;1;42;0.0;1;
automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration5_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination_true-no-overflow.c_Iteration5_B.ba.hoa;0.01;1;26;0.01;1;;0.01;1;26;0.01;1;;0.01;1;26;0.02;1;;0.01;1;25;0.01;1;;0.02;1;81;0.0;1;
automata/termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination_true-no-overflow.c_Iteration3_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination_true-no-overflow.c_Iteration3_B.ba.hoa;0.0;1;9;0.01;1;;0.0;1;9;0.01;1;;0.0;1;9;0.0;1;;0.0;1;9;0.0;1;;0.01;1;12;0.0;1;
automata/termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination_true-no-overflow.c_Iteration2_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination_true-no-overflow.c_Iteration2_B.ba.hoa;0.0;1;16;0.0;1;;0.0;1;16;0.0;1;;0.01;1;16;0.0;1;;0.0;1;16;0.0;1;;0.01;1;17;0.0;1;
automata/termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination_true-no-overflow.c_Iteration2_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination_true-no-overflow.c_Iteration2_B.ba.hoa;0.0;1;12;0.0;1;;0.0;1;12;0.0;1;;0.0;1;12;0.0;1;;0.0;1;12;0.0;1;;0.0;1;13;0.0;1;
automata/termination/AliasDarteFeautrierGonnord-SAS2010-while2_true-termination_true-no-overflow.c_Iteration2_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-while2_true-termination_true-no-overflow.c_Iteration2_B.ba.hoa;0.0;1;6;0.0;1;;0.0;1;6;0.0;1;;0.0;1;6;0.0;1;;0.0;1;6;0.0;1;;0.01;1;8;0.0;1;
automata/termination/AliasDarteFeautrierGonnord-SAS2010-while2_true-termination_true-no-overflow.c_Iteration3_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-while2_true-termination_true-no-overflow.c_Iteration3_B.ba.hoa;0.01;0;12;0.0;0;;0.0;0;12;0.0;0;;0.0;0;12;0.0;0;;0.01;0;12;0.0;0;;0.01;0;12;0.0;0;
